fips,county,serv_to_trad_ratio,lq_agmine,lq_manuf,lq_info,lq_profscitech,lq_health,lqgrow_agmine,lqgrow_manuf,lqgrow_info,lqgrow_profscitech,lqgrow_health,occupation_manag_bus_sci_arts,occupation_services,occupation_sales_office,occupation_natresource_constr_maintenance,occupation_prod_transp_materialmoving,industry_ag_dor_fishhunt_mining,industry_constr,industry_manuf,industry_wholesale,industry_retail,industry_transp_warehous_utilit,industry_information,industry_financeinsurance_restaterental,industry_professional_sci_manage_adminwastemanageserv,industry_educ_health_socassist,industry_art_entert_rec_accomfoodserv,industry_otherserv,industry_pubadmin
06025,Imperial,1.2991824705633412,5.627391391629285,0.8014447044055941,0.43820749769021244,0.41326601807016117,1.1301686702462461,1,0,0,0,1,24.8,24.4,22.6,13.8,14.4,9.8,5.2,4.1,2.4,14.0,6.4,0.8,3.2,7.3,26.3,8.0,3.5,9.1
06027,Inyo,3.2984712541876853,0.2621094598797922,0.41914768405430186,0.43420161883100195,0.4179169302095828,1.3753878094988103,0,0,0,0,1,32.8,20.7,22.6,14.3,9.6,5.0,9.3,2.6,0.9,11.5,7.7,1.4,3.2,4.5,25.6,15.2,5.1,8.2
06029,Kern,1.0389357486985773,9.86754893816202,0.7303240627423851,0.6875718474646446,0.7122605815369374,0.990521387332366,0,0,0,0,0,26.7,18.6,19.3,21.0,14.3,16.5,6.7,5.2,3.0,10.7,5.4,1.0,3.5,8.1,20.1,8.7,4.5,6.4
06031,Kings,1.0896210557962203,2.63643370456326,2.072932291641605,0.39364849220907766,0.5605927088692405,1.3165190269134213,0,1,0,0,1,24.6,21.7,19.5,19.8,14.4,14.9,3.6,7.5,2.3,9.6,4.4,1.0,3.0,6.3,21.3,8.4,4.0,13.6
06033,Lake,4.7262074857487955,3.2809119005755116,0.34447452204460943,0.4565731766569295,0.36953332930941757,1.6002227778241533,1,0,0,0,1,27.2,27.1,19.3,15.6,10.8,7.0,8.8,3.9,1.6,11.7,4.8,1.3,3.1,11.0,25.0,8.4,5.5,7.9
06035,Lassen,5.289460656417668,2.492016987628671,0.1357558177324953,0.9504499562369945,1.2506729598456336,1.5118151488161928,0,0,0,1,0,29.2,26.5,20.1,11.7,12.5,6.7,6.7,1.7,1.2,8.0,3.2,1.1,2.5,3.5,22.1,7.0,2.9,33.5
06037,Los Angeles,5.548343837783938,0.12894759661878763,0.9094153947319819,1.9465269178092013,1.1124091279552577,0.9320088459115817,0,0,1,0,0,37.0,18.9,22.7,7.6,13.8,0.5,5.8,9.6,3.4,10.4,5.8,4.4,6.1,12.9,20.6,11.3,6.0,3.2
06039,Madera,0.9869465567631002,14.278367196090697,1.6329740649737359,0.624061194887589,0.23127887581024387,1.4665324529285801,0,1,0,0,1,23.5,17.6,21.7,22.8,14.3,15.9,7.2,9.4,2.3,10.2,4.1,1.3,3.9,6.5,20.6,9.0,4.5,5.2
06041,Marin,,0.08861309428480497,0.4635426711024783,1.8862465504490968,1.126490379396994,1.042880659644946,0,0,1,0,1,54.7,14.4,20.0,5.7,5.2,0.7,5.8,4.7,2.4,9.2,3.0,3.8,10.1,20.0,21.7,9.2,6.0,3.4
06043,Mariposa,6.858900655572365,0.0,0.3607200323249737,0.30193213069359237,0.38637784760239224,1.0759281108944048,0,0,0,0,0,29.0,30.5,21.1,9.3,10.1,3.8,4.3,4.9,1.3,11.6,3.5,1.0,3.0,10.5,17.3,25.4,2.4,10.9
06045,Mendocino,3.407946521909487,3.8269303697888395,1.1825032933175048,0.4573478646833949,0.3778606848883302,1.174631302234976,1,1,0,0,1,32.2,22.2,20.9,14.8,10.0,7.1,8.0,7.2,2.3,12.4,2.9,1.6,3.8,8.7,22.2,11.5,6.3,6.0
06047,Merced,,5.987681580039481,2.283072532071772,0.409526721992732,0.26194338921395116,0.9903774397320529,1,1,0,0,0,24.0,19.0,19.1,19.2,18.8,12.5,6.7,11.5,3.1,11.2,5.5,1.0,2.8,6.7,22.6,7.6,4.7,4.2
06049,Modoc,0.856978979957634,5.982181604116629,0.37685421821305065,0.3836082052485999,0.41690187746885465,2.139514509218192,1,0,0,0,0,37.8,20.4,17.6,16.1,8.1,20.4,3.1,0.6,3.0,7.7,3.7,0.5,2.4,5.5,25.2,10.9,8.4,8.7
06051,Mono,10.539976310334616,0.5800233499613934,0.14990448982664575,0.15497531600613207,0.2511074838746912,0.49365528849669643,0,0,0,0,0,38.3,28.1,17.7,9.4,6.6,4.8,8.1,2.5,0.1,9.4,3.3,1.1,5.5,7.7,11.9,38.8,2.4,4.4
06053,Monterey,1.4608146108282594,3.6673728273777506,0.7903511038752801,0.49716997566447896,0.9670766153344472,0.9431634791009972,1,0,0,0,0,28.5,19.9,18.9,20.5,12.1,18.0,6.0,5.2,2.7,9.4,3.5,1.3,3.5,9.1,19.8,11.9,4.4,5.2
06055,Napa,1.7535545629146418,1.3569623038931131,1.9681638306110711,0.282135674670687,0.4334833863798993,1.089054748075697,0,1,0,0,0,36.2,20.7,20.9,11.4,10.8,5.8,6.1,13.0,2.7,9.9,3.0,1.2,5.0,9.5,21.2,13.8,4.7,3.9
06057,Nevada,,0.39795822455971397,0.5015827889185068,0.43518121422170775,0.6850054455243498,1.2144707446134422,0,0,0,0,1,41.2,19.7,22.4,8.5,8.2,1.4,8.2,6.2,1.9,11.1,4.2,1.5,5.8,13.9,22.9,10.6,6.4,5.8
06059,Orange,4.0189049245498065,0.06463628309146942,1.0621214007211548,0.97457643941011,1.302644285859077,0.7284707078006792,0,0,0,1,0,41.7,17.3,23.7,6.4,10.9,0.6,5.7,12.6,3.6,10.5,3.5,2.0,8.6,14.4,19.3,11.0,5.5,2.8
06061,Placer,5.778352543179957,0.09609507551767822,0.3482593486179767,0.7987401320627359,0.9731756397831652,0.9448179569574829,0,0,0,0,0,44.9,16.7,24.3,7.1,7.1,0.8,7.1,6.1,2.5,11.7,4.2,2.2,8.5,12.5,23.0,9.2,4.9,7.3
06063,Plumas,6.889405154826374,1.1222512677997305,1.4908103085291922,0.7580262192019752,0.6370590463232436,1.4799098835037792,0,1,0,0,0,34.7,24.6,17.1,12.9,10.7,4.2,10.2,6.2,0.6,10.4,6.0,0.9,3.1,7.1,24.3,12.4,6.1,8.5
06065,Riverside,4.136493767997681,0.3421156901426017,0.8521165710874845,0.4728211153428328,0.5152651808092008,0.8901245359117669,0,0,0,0,0,29.5,21.2,23.2,11.2,14.9,1.5,8.7,8.6,2.9,12.9,6.5,1.5,5.0,10.3,20.7,11.5,5.2,4.8
06067,Sacramento,6.861727070051361,0.1395734268299325,0.4455131927554424,0.9684594059761392,1.2540169189661547,1.139222476542153,0,0,0,1,1,39.0,19.3,23.2,7.8,10.7,0.9,6.4,5.6,2.5,10.9,5.5,1.8,7.0,11.8,22.4,9.6,5.1,10.6
06069,San Benito,1.0653223280062072,3.8347779990985815,2.6618346027929163,0.2526427996800614,0.33724946439219505,0.709592192240754,1,1,0,0,0,28.8,17.9,21.5,16.7,15.1,6.8,11.3,12.0,3.3,12.1,4.7,1.4,3.6,8.3,19.8,8.2,4.0,4.5
06071,San Bernardino,4.882800650479765,0.2152282293127956,0.941655877470568,0.6044203546838439,0.45824677092555277,1.034437366168469,0,0,0,0,1,29.1,18.7,23.1,10.3,18.8,0.7,7.6,8.8,3.3,12.9,9.6,1.3,4.8,9.3,22.1,9.1,5.1,5.3
06073,San Diego,4.346505372564567,0.12082356974181976,0.8772368308888094,0.9790564783002461,1.6954274072738196,0.8930031401826014,0,0,0,1,0,41.7,19.5,21.7,7.6,9.5,0.9,5.9,9.2,2.4,10.5,4.1,2.2,6.2,15.1,21.3,11.9,5.4,5.0
06075,San Francisco,18.169315771003106,0.020703513636405168,0.1266557477271163,3.9674659318927956,2.4243345625234527,0.6396245674429193,0,0,1,1,0,56.3,16.1,18.2,3.3,6.0,0.2,3.2,5.1,1.7,9.2,4.1,6.0,8.5,24.2,18.3,11.7,4.5,3.2
06077,San Joaquin,2.7926815862400423,1.1991674269063508,1.0530272673623569,0.42851016242697265,0.3711304695565447,0.9963558453520552,1,1,0,0,0,27.7,18.3,21.7,13.8,18.4,4.7,8.0,10.0,3.5,11.9,8.3,1.3,4.7,9.6,20.3,8.0,4.7,4.9
06079,San Luis Obispo,4.15674265090631,0.5037652711323338,0.8442759147916342,1.035594454755295,0.7735141090987885,1.024785558709704,0,0,1,0,1,39.4,20.7,20.7,10.6,8.6,3.4,8.5,7.0,2.3,11.2,4.4,1.6,4.5,10.9,23.1,12.5,5.1,5.7
06081,San Mateo,3.4074127081025414,0.04558795872421613,0.6714643384069913,4.944441564493391,1.531247574703271,0.5888586329368777,0,0,1,1,0,48.5,17.0,20.3,6.0,8.3,0.5,5.1,7.8,2.2,9.2,5.6,4.5,7.7,19.0,20.1,9.9,5.2,3.3
06083,Santa Barbara,2.756804444634641,1.569840356519536,0.961254719651939,1.7353142782096962,0.9655157867666881,0.9611303044106411,0,0,1,0,0,35.6,21.6,19.6,14.0,9.2,8.9,5.4,7.0,2.0,9.8,3.0,2.0,4.7,11.8,23.1,12.3,5.5,4.3
06085,Santa Clara,2.7285264362320616,0.04845111842264576,0.8566310125955076,4.534951350818309,1.8644778826462165,0.682063055624312,0,0,1,1,0,53.1,14.9,17.5,6.1,8.4,0.5,5.1,16.8,2.1,8.6,2.9,5.2,4.8,20.6,18.9,8.2,4.1,2.4
06087,Santa Cruz,3.352543297836056,0.2583501583824768,0.7515703401056097,0.624789684024062,0.7988207757337441,1.0911190687011296,0,0,0,0,1,41.4,18.9,20.3,10.6,8.8,5.1,6.2,8.7,2.6,10.5,3.0,2.4,4.3,12.2,25.1,11.4,5.1,3.3
06089,Shasta,6.329180820682399,1.4999990114531563,0.5073509515223948,0.507836307948845,0.6494247685885335,1.4115895816679715,1,0,0,0,1,32.6,21.9,24.3,10.5,10.7,2.0,7.6,5.6,2.0,13.1,4.3,1.7,5.5,9.4,26.4,10.1,5.9,6.5
06091,Sierra,,0.0,0.0,0.0,0.0,1.3245168353473822,0,0,0,0,1,27.7,18.8,16.1,22.5,14.9,3.7,18.9,3.1,0.0,4.9,10.5,0.2,0.0,8.4,20.9,8.3,2.5,18.7
06093,Siskiyou,1.948969361224871,4.194433136833084,1.091739234881875,0.6841065313322514,0.5071285638970622,1.2868227805798178,1,1,0,0,1,33.2,20.3,20.5,14.8,11.2,10.7,6.0,5.7,2.0,11.4,4.1,1.5,2.9,6.4,24.7,10.4,5.4,8.8
06095,Solano,1.4835885084664409,0.2902168652046505,0.910343215961918,0.5057186871274373,0.4440190217491278,1.2400082398936618,0,0,0,0,1,33.1,20.2,22.4,10.8,13.5,1.5,8.3,8.5,2.5,11.4,6.3,1.8,5.5,9.7,23.1,9.6,4.8,7.1
06097,Sonoma,2.8829469532450354,0.7362396063089092,1.4113310945040707,0.6717528663178587,0.6814439905185025,0.9569634576329874,0,1,0,0,0,37.5,20.0,21.3,10.5,10.7,2.8,8.2,9.7,2.9,11.5,3.7,2.0,5.8,11.8,21.0,10.8,5.8,4.0
06099,Stanislaus,,1.9262242426306764,1.561343957523419,0.39995322981707604,0.6465017965880637,1.1265855245951708,1,1,0,0,1,27.8,17.7,21.3,14.6,18.7,5.4,7.8,12.2,3.9,12.9,6.3,1.2,3.7,8.8,21.3,8.1,4.7,3.5
06101,Sutter,3.098785156348887,2.8128062212783718,0.7715441482636217,0.42647857966400915,0.392210760540846,1.0268709530896956,1,0,0,0,1,29.9,18.1,20.7,16.7,14.5,10.9,7.4,7.4,3.3,12.3,5.6,0.9,3.9,7.6,21.8,8.9,4.0,6.1
06103,Tehama,2.398726902056042,6.346225537385606,1.6656169232558726,0.4066620988270341,0.25943428588970946,1.0245967853145102,1,1,0,0,1,25.0,22.9,21.6,15.0,15.6,6.7,7.8,8.9,1.9,13.7,5.4,1.5,4.2,8.2,21.0,11.0,4.7,5.0
06105,Trinity,3.2155726022132183,0.0,1.4296356408863038,0.5439025252361818,0.7663379989339957,1.3251576272367618,0,1,0,0,0,29.0,27.8,17.9,12.5,12.9,7.9,7.3,5.4,0.5,8.8,5.0,1.5,3.3,6.5,22.2,14.8,5.4,11.3
06107,Tulare,1.2636923321423421,1.5120624195434809,1.5116533896633488,0.46081678526912695,0.337034459898711,1.1144708458402697,0,1,0,0,1,25.7,18.0,19.3,21.9,15.2,17.9,5.0,8.2,3.5,11.3,4.4,0.9,3.2,6.2,20.8,8.3,4.7,5.6
06109,Tuolumne,7.569656810420912,1.9885788637042037,0.7096848887743391,0.621899323719681,0.5084560296671009,1.3715827255217008,1,0,0,0,1,32.9,27.6,19.6,10.2,9.6,2.9,6.8,4.8,1.0,9.3,5.6,1.7,4.6,9.3,23.0,15.7,6.7,8.5
06111,Ventura,2.439674235215691,0.8382331442180869,1.0444198971483134,0.7849471229670525,1.2289781412615286,0.9689333119899393,0,1,0,1,0,38.1,17.2,22.2,11.7,10.9,5.6,5.8,10.1,3.0,10.6,3.3,2.4,7.7,11.9,19.6,9.7,5.3,5.0
06113,Yolo,,1.1615062835490295,1.1007912701915608,0.7760534953558493,0.7849316842035137,0.711614233246637,1,1,0,0,0,44.9,18.7,17.0,8.7,10.7,4.0,4.8,6.0,2.3,10.0,4.8,1.2,4.3,10.4,29.1,10.4,4.4,8.2
06115,Yuba,3.186946003598965,3.5369589481352204,0.46793804052009064,0.4464156897252179,0.6957286580930369,1.6537622582019793,1,0,0,0,1,26.8,20.5,22.8,15.0,14.9,4.2,9.3,5.8,2.4,13.0,4.9,2.0,4.2,9.7,21.4,9.1,4.3,9.6
